HotelID,Ciudad,Nombre,Direccion,Valoracion,TotalOpiniones,Lat,Lng
1,"Tuxtla Gutierrez, Chiapas",Hotel San Miguel,"Av 3a. Sur Pte 510, centro, 29000 Tuxtla Gutiérrez, Chis., Mexico",4.5,1219,16.7516422,-93.1201452
2,"Tuxtla Gutierrez, Chiapas",Marriott Tuxtla Gutierrez Hotel,"Blvd. Belisario Domínguez 1195, Sin Nombre, Santa Elena, 29060 Tuxtla Gutiérrez, Chis., Mexico",4.5,4538,16.7540924,-93.1435518
3,"Tuxtla Gutierrez, Chiapas","Palmareca Hotelería ""Siempre Amables""","Blvd. Belisario Domínguez 4120, Jardines de Tuxtla, 29020 Tuxtla Gutiérrez, Chis., Mexico",4.5,2238,16.7566067,-93.152845
4,"Tuxtla Gutierrez, Chiapas",Casa Nomada,"Av. 3a. Nte. Ote. 172, Zona Sin Asignación de Nombre de Col 42, 29000 Tuxtla Gutiérrez, Chis., Mexico",4.4,72,16.7558832,-93.1151112
5,"Tuxtla Gutierrez, Chiapas",Auto Hotel Mediterráneo,"Libramiento Sur Oriente, RIbera s/n, Rivera Cerro Hueco, Cerro Hueco, 29094 Tuxtla Gutiérrez, Chis., Mexico",4.0,164,16.732766,-93.0945732
6,"Tuxtla Gutierrez, Chiapas",Hotel Uke Inn [Xamaipak],"Av. Segunda Sur Pte. 1551, Xamaipak, 29060 Tuxtla Gutiérrez, Chis., Mexico",4.3,669,16.7529012,-93.131194
7,"Tuxtla Gutierrez, Chiapas",Acacia Hotel,"Blvrd Presa Chicoasén 110, Amp las Palmas, 29040 Tuxtla Gutiérrez, Chis., Mexico",4.6,65,16.7567602,-93.08830789999999
8,"Tuxtla Gutierrez, Chiapas",Hotel Casablanca,"Av. 2a. Nte. Ote. 251, Estrada, 29000 Tuxtla Gutiérrez, Chis., Mexico",3.7,508,16.755111,-93.114606
9,"Tuxtla Gutierrez, Chiapas",Hotel La Hacienda,"Blvd. Belisario Domínguez 1197, Residencial Campestre, 29000 Tuxtla Gutiérrez, Chis., Mexico",4.2,665,16.7556724,-93.14202879999999
10,"Tuxtla Gutierrez, Chiapas",Hotel RS Suites,"Blvrd Presa Chicoasén 815, CFE, 29040 Tuxtla Gutiérrez, Chis., Mexico",4.2,768,16.7565689,-93.0886077
11,"Tuxtla Gutierrez, Chiapas","Capital O Hotel Aurora, Tuxtla Gutiérrez","Calle Septima Ote. Sur 351, Asamblea de barrio, San Roque, 29000 Tuxtla Gutiérrez, Chis., Mexico",4.3,149,16.7505792,-93.1104455
12,"Tuxtla Gutierrez, Chiapas",Hotel Casa Del Agua,"Quinta Avenida Nte. Pte. 563, Terán, 29050 Tuxtla Gutiérrez, Chis., Mexico",4.6,229,16.7565439,-93.16625309999999
13,"Tuxtla Gutierrez, Chiapas",Hotel del Carmen [Tuxtla Gutiérrez],"Av 2a. Sur Pte No. 826, Centro, 29000 Tuxtla Gutiérrez, Chis., Mexico",4.3,1226,16.7530269,-93.1227035
14,"Tuxtla Gutierrez, Chiapas",Ambar Auto Hotel,"Andrés Serra Rojas 396, Castillo Tielmans, 29070 Tuxtla Gutiérrez, Chis., Mexico",4.4,376,16.744286,-93.08359019999999
15,"Tuxtla Gutierrez, Chiapas","Holiday Inn Tuxtla Gutierrez, an IHG Hotel","Km. 1081, Blvd. Belisario Domínguez, Sin Nombre, 29020 Tuxtla Gutiérrez, Chis., Mexico",4.6,4605,16.7547262,-93.15125599999999
16,"Tuxtla Gutierrez, Chiapas",Andiroba Palace [Hotel],"Blvd. Ángel Albino Corzo 1239, Las Palmas, 29040 Tuxtla Gutiérrez, Chis., Mexico",4.3,814,16.749368,-93.09098709999999
17,"Tuxtla Gutierrez, Chiapas",Hotel Don Cándido,"Av. 5a. Sur Ote. 142, Asamblea de barrio, Centro, 29000 Tuxtla Gutiérrez, Chis., Mexico",3.7,185,16.7492886,-93.11649279999999
